Net generation all fuels (utility-scale) all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202107&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
13:11:59 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,New England thousand megawatthours,Middle Atlantic thousand megawatthours,East North Central thousand megawatthours,West North Central thousand megawatthours,South Atlantic thousand megawatthours,East South Central thousand megawatthours,Mountain thousand megawatthours,West South Central thousand megawatthours,Pacific Noncontiguous thousand megawatthours,Pacific Contiguous thousand megawatthours
Nov 2016,7893.90035,32462.47273,43205.38495,24364.88505,56595.1028,25742.90028,27643.68276,50377.4822,1381.77866,27394.1818
Oct 2016,7936.29327,32475.35762,44359.58312,24202.63246,60824.68191,26862.42396,29372.85265,56262.86044,1385.4273,29263.05103
Sep 2016,8848.9902,36756.1335,49218.87124,26392.5362,70802.43955,32429.53662,30949.83273,63729.33828,1392.90494,30963.88471
Aug 2016,10926.63978,44282.08469,57818.3924,31899.12527,83787.66377,37556.40931,36113.99935,70517.0612,1427.86589,35371.56994
Jul 2016,10965.65972,42266.53957,56832.28978,31844.0929,85287.69469,36367.60926,37678.24762,73828.47404,1364.0063,35452.32825
Jun 2016,9009.86815,35585.42318,51757.30477,28880.14517,75690.34148,33017.48421,33509.54905,65592.32559,1262.9118,33475.84222
May 2016,8954.36928,33036.5229,42647.64818,23340.26873,65161.13754,28519.21201,27536.11026,56233.17895,1275.00893,30080.99985
Apr 2016,8445.76279,30244.78258,42295.82661,22981.61883,58001.39684,24679.72305,25023.17945,50635.62107,1274.5888,29311.05014
Mar 2016,8381.45945,32106.33041,44120.37908,24603.63588,58825.04928,26586.73978,26593.12666,51495.03677,1370.54712,30307.27642
Feb 2016,8507.87626,33722.14134,46954.72243,26543.17071,63262.41684,29487.44676,26911.51344,49352.58441,1283.60431,27659.92408
Jan 2016,8954.26798,37487.8305,54037.65231,30458.10791,69788.9975,33228.66003,31243.04955,56405.32739,1407.45523,29707.7176
Dec 2015,8859.48135,33978.51136,46455.28015,26996.98043,61222.37748,28724.71428,32135.97943,53827.00723,1451.77312,30775.11868
Nov 2015,7906.08532,32710.66798,44689.4018,24430.16936,57231.14728,26947.14971,28155.02702,48973.84519,1428.61497,28181.15892
Oct 2015,7810.59402,33325.3591,46429.54844,25971.68628,56619.51199,27806.0843,30030.0473,52714.72261,1394.31827,30009.80758
Sep 2015,9224.38157,36994.86158,49916.94648,28149.15341,67063.38135,30942.90069,32945.86179,61848.6918,1391.16832,31644.30122
Aug 2015,11066.72121,40549.92999,54866.782,30109.88659,76257.08586,35306.4636,37137.42507,70402.72877,1453.24374,34965.93618
Jul 2015,11137.09849,40471.04262,55790.56002,31540.08963,79544.24676,37618.00446,36623.70641,71979.21688,1387.37904,34327.50846
Jun 2015,9368.80941,35860.14409,50595.80619,27936.85762,74109.77787,34124.32465,34388.02081,63298.67662,1297.39492,31429.38967
May 2015,8884.383,33248.55118,45941.85489,24817.7848,66121.54088,30102.48024,29173.97268,54906.69899,1315.84349,27573.80197
Apr 2015,8122.43486,30352.91131,43101.16367,23956.89548,57025.70378,26112.31859,27376.06884,49337.22869,1311.61014,27437.00708
Mar 2015,8827.80837,36468.34901,50495.16716,26538.11281,60992.07252,30095.86621,28491.59306,51059.60735,1332.14009,29891.17699
Feb 2015,9397.6002,35397.36255,53887.56156,28374.40904,66900.43388,33166.02153,26200.95728,52645.9084,1304.24628,27201.0457
Jan 2015,9629.41824,38451.18069,57062.87729,30656.88748,69000.0689,35047.26878,30509.78252,58339.3804,1336.7052,30421.59778
Dec 2014,8826.49677,37177.26355,52544.60416,29375.55287,62352.88026,31819.41885,30677.30896,52979.2155,1400.90812,30803.0069
Nov 2014,8202.64138,33423.12898,50296.90835,27684.18125,59888.51704,29252.30074,28850.3448,50171.71362,1361.14788,28364.1251
Oct 2014,8433.14533,33983.32361,46070.49719,25830.65164,58418.44006,27970.83917,29779.55372,52399.72934,1408.15134,30227.66708
Sep 2014,9169.88936,34291.06477,48648.57194,25909.61204,65228.39442,31253.62044,33044.46,59263.30418,1371.96005,31705.62833
Aug 2014,10312.34039,37797.16593,56575.85717,31019.56598,72945.93041,35461.3179,35931.64119,68969.0442,1391.21435,33937.07073
Jul 2014,11299.95223,39240.56652,54802.26698,30754.438,74313.74354,34025.03361,37810.65465,65422.35941,1374.15575,36736.38079
Jun 2014,9616.47469,36531.62482,52838.28894,28289.17126,70606.35121,32465.80762,32335.53996,60787.67247,1295.07934,33078.0324
May 2014,8632.86467,32286.83544,47363.16077,25668.96717,64234.67518,29764.80149,29307.99114,53705.44962,1318.68811,32440.86652
Apr 2014,8226.30877,31176.5573,45024.69624,24183.042,56161.31499,25880.6555,27258.83483,48699.85942,1299.16531,29720.15328
Mar 2014,9263.17427,35893.15054,53267.0458,28534.35755,63461.10389,29536.44419,28847.12834,51438.00192,1334.753,30247.89954
Feb 2014,8556.75721,35501.60126,51269.92032,28751.8888,62147.17148,30136.34343,28276.54772,51258.13496,1295.25847,27154.81191
Jan 2014,10355.77372,38929.37074,61195.64355,32302.05337,75198.55458,37304.27736,31214.05673,58512.22583,1396.50616,30846.24892
Dec 2013,9632.76422,37430.40224,57194.23469,29667.74627,63419.47226,31843.32898,32099.15769,57327.02877,1517.48681,32889.62582
Nov 2013,8884.81028,32629.98328,50067.48719,26903.10188,59134.54763,27797.15708,28407.6849,50303.86132,1417.46929,28993.53902
Oct 2013,9119.74017,30831.81823,48961.17389,25912.88541,60813.58392,27785.60585,29132.36295,51409.23758,1486.47773,29472.57675
Sep 2013,9493.73449,33788.76784,49174.96091,26749.11305,65552.07477,30655.89313,31802.8156,60959.22803,1382.93901,31381.37472
Aug 2013,10547.72404,38084.84208,56554.88289,30158.05696,73355.01749,34913.54934,36301.75775,69327.14538,1423.7704,34618.99883
Jul 2013,12582.83361,43167.09894,57798.3269,30696.38204,74878.27644,34292.84314,37352.50346,66284.46743,1407.50943,36385.37939
Jun 2013,9956.47512,35796.33278,50928.0299,27334.13799,69385.72827,33034.36234,34087.62998,62822.70275,1302.6547,32174.5934
